text,label
INTEREST REF CASH ADVANCES MAY 2023,7
FRAUD DISPUTE,7
FOREIGN FEE CREDIT ADJUSTMENT,7
FRAUD DISPUTE,7
MEIJER # 025 877-363-4537 MI,1
HORROCKS FARM MARKET LA LANSING MI,1
TARGET 00003657 OKEMOS MI,1
HEATHER ENTERPRISES INC ROCHESTER HILMI,2
CITY OF ROCHESTER PARKINGROCHESTER MI,7
CONRADS GRILEATSTREET 866-654-8777 WI,2
MEIJER # 025 877-363-4537 MI,1
HOBBY LOBBY #360 EAST LANSING MI,7
TARGET 00032789 EAST LANSING MI,1
WALGREENS #21313 800-289-2273 MI,4
THE RIV EAST LANSING MI,2
THE SALVATION ARMY 7 ROCHESTER HILMI,5
SUNOCO 0425151800 ROCHESTER MI,8
STUTZ DERMATOLOGY ROCHESTER MI,7
BUSCH'S INC. #1097 ROCHESTER MI,1
TRADER JOE S #668 ROCHESTER HILMI,1
TOTAL WINE AND MORE STERLING HEIGMI,2
FOREIGN TRANSACTION FEE,7
ILIAD ITALIA PARIS,2
WHOLEFDS ELN#10541 EAST LANSING MI,2
MARSHALLS #0727 OKEMOS MI,5
KROGER FUEL #9793 OKEMOS MI,1
HOPCAT EAST LANSING 517-8164300 MI,2
WHOLEFDS ELN#10541 EAST LANSING MI,1
WHOLEFDS ELN#10541 EAST LANSING MI,1
DOUGLAS J * DOUGLAS J 517-3499343 MI,7
MEIJER # 025 877-363-4537 MI,1
DOLLAR TREE OKEMOS MI,7
MCDONALD'S F2306 OKEMOS MI,2
SPARTAN SPIRITS EAST LANSING MI,7
MEIJER # 025 877-363-4537 MI,1
NCG CINEMAS - LANSING- MILANSING MI,3
HORROCKS FARM MKT LANSINGLANSING MI,1
THE RIV EAST LANSING MI,2
COTTAGE INN PIZZA - EA EAST LANSING MI,2
LINELEAP HTTPSWWW.LINEWI,7
LINELEAP HTTPSWWW.LINEWI,7
Tin Can East Lansing East Lansing MI,2
TST* Barrio - East LansinEast Lansing MI,2
NCG CINEMAS - LANSING- MILANSING MI,3
NCG CINEMAS - LANSING- MILANSING MI,3
EARTHBREEZE.COM EARTHBREEZE.COR,7
TARGET 00032789 EAST LANSING MI,1
LANSING CENTER LOTS TIBA LANSING MI,7
NCG LANSING WWW.NCGMOVIESMI,3
2PROSPORTSCATER@LUGNT- LANSING MI,3
MEIJER # 025 877-363-4537 MI,1
KROGER #693 LINCOLN PARK MI,1
SHISH PALACE II ALLEN PARK MI,2
EARTHBREEZE.COM EARTHBREEZE.COR,7
AMOCO#20995005564 WOODWA DETROIT MI,8
Common Pub Detroit MI,2
CVS/PHARMACY #08231 DETROIT MI,4
KROGER #784 GROSSE POINTEMI,1
AMOCO#20995005564 WOODWA DETROIT MI,8
Common Pub Detroit MI,2
TOCK ATCHARTREUSE KIT 844-626-1525 IL,2
TOCK ATCHARTREUSE KIT 312-561-4554 IL,2
RITE AID 04595 DETROIT MI,4
DEPOP WWW.DEPOP.COMNY,5
EARTHBREEZE.COM EARTHBREEZE.COR,7
BRUEGGERS 3748 ROCHESTER HILMI,2
CONTEMPORARY OBSTETRIC ROCHESTER MI,7
TST* BEYOND JUICE EATERY DETROIT MI,2
MEIJER 268 *PRODDESC 877-363-4537 MI,1
THE DETROIT CLUB BOHEM 313-3383222 MI,2
SQ *PARK SHELTON Detroit MI,7
SQ *SPKRBOX Detroit MI,2
SQ *SPKRBOX Detroit MI,2
TST* Eatori Market Detroit MI,2
SQ *SPKRBOX Detroit MI,2
SQ *SPKRBOX Detroit MI,2
Common Pub Detroit MI,2
BWW 3632 DETROIT DETROIT MI,2
ROCCOS ITALIAN DELI LLC DETROIT MI,2
MEIJER # 268 DETROIT MI,1
SQ *SOCHOCKI'S GREENHOUSEDetroit MI,2
Common Pub Detroit MI,2
THE SALVATION ARMY 7 ROCHESTER HILMI,5
CLOTHES MENTOR BLOOMFIELD HIMI,5
324PEPSIVEN9147678600 DETROIT MI,2
WINGSTOP 1417 DETROIT MI,2
PY *BLAKES HARD CIDER CO ARMADA MI,2
TIN ROOF DETROIT LLC DETROIT MI,2
DOMINO'S 1028 DETROIT MI,2
SQ *TIN ROOF ACQUISITION Detroit MI,2
INTEREST CHARGED ON BANK CASH ADVANCES,7
MEIJER 306 *PRODDESC 877-363-4537 MI,1
EARTHBREEZE.COM EARTHBREEZE.COR,7
SEPHORA.COM 877-SEPHORA CA,5
VENDING 1800-766-8728 WARREN OH,7
TIN ROOF DETROIT LLC DETROIT MI,2
ATM - TRANSACTION FEE,7
FLAGSTAR BANK DETROIT MI,7
HOPCAT DETROIT 313-7698828 MI,2
TIN ROOF DETROIT LLC DETROIT MI,2
TIN ROOF DETROIT LLC DETROIT MI,2
SQ *UNWINED WINERY Shelby TownshMI,2
SP WHITE LOTUS FARMS 173-46601319 MI,2
COMERICA PARK CONCESSI DETROIT MI,3
COMERICA PARK CONCESSI DETROIT MI,3
FAMILY FARE 1522 STANDISH MI,1
WALGREENS #9125 ROCHESTER HILMI,4
DETROIT SPORTS BAR GRIL DETROIT MI,2
TONY VS TAVERN DETROIT MI,2
EARTHBREEZE.COM EARTHBREEZE.COR,7
HOPCAT DETROIT 313-7698828 MI,2
HOPCAT DETROIT 313-7698828 MI,2
GO SY THAI DETROIT MI,2
SAVVY SLIDERS #212 DETROIT MI,2
SQ *DETROIT AXE/THE YARD Detroit MI,2
SQ *DETROIT AXE/THE YARD Detroit MI,2
SQ *LEVY @ MICHIGAN LOTTESterling HeigMI,2
SQ *LEVY @ MICHIGAN LOTTESterling HeigMI,2
METRO VALET PARKING DETROIT MI,7
Checker Bar Detroit Detroit MI,2
TONY VS TAVERN DETROIT MI,2
B&N BOOKST WSU-WARR #7409313-577-2436 MI,7
B&N BOOKST WSU-WARR #7409313-577-2436 MI,7
ALDI 67068 HIGHLAND PARKMI,1
ULTA #1566 TROY MI,5
MEIJER # 268 877-363-4537 MI,1
TST* DETROIT WING COMPANYTROY MI,2
FOREIGN TRANSACTION FEE,7
SHAWARMA PALACE WINDSOR ON,2
FOREIGN TRANSACTION FEE,7
COSMOS LOUNGE WINDSOR ON,2
FOREIGN TRANSACTION FEE,7
COLOSSEUM PORTABLE BARS WINDSOR ON,2
FOREIGN TRANSACTION FEE,7
WINDSOR- DETROIT TUNNEL WINDSOR ON,7
TARGET 00013136 TROY MI,1
FIERY CRAB NEW ORLEANS LA,2
BURGER KING AS1 MCO ORLANDO FL,2
MSY DYLAN'S CANDY KENNER LA,2
CVS/PHARMACY #02728 NEW ORLEANS LA,4
FIVE STAR FOOD KENNER LA,2
FIVE STAR FOOD KENNER LA,2
PAT O`BRIENS BAR NEW ORLEANS LA,2
TST* THE RUBY SLIPPER CAFNEW ORLEANS LA,2
SPIRIT AIRL 4870359941769800-7727117 FL,6
SQ *NOLA HANDICRAFT LLC New Orleans LA,5
HOTEL MONTELEONE - CAR 504-5233341 LA,6
MAGNOLIA SUGAR AND SPICE NEW ORLEANS LA,2
SIDNEYS WINE CELLAR NEW ORLEANS LA,2
ATLANTA AIRPORT ATLANTA GA,6
ATLANTA AIRPORT ATLANTA GA,6
DTW ATWATER DETROIT MI,2
MAIN STREET BILLARDS ROCHESTER MI,2
